Date,zone,centre,Price
21-04-93,1,HISAR,64
21-04-93,1,KARNAL,56
21-04-93,1,SHIMLA,63
21-04-93,1,MANDI,76
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,68
21-04-93,1,AMRITSAR,74
21-04-93,1,LUDHIANA,70
21-04-93,1,LUCKNOW,NA
21-04-93,1,KANPUR,NA
21-04-93,1,CHANDIGARH,65
21-04-93,1,DELHI,60
21-04-93,2,AHMEDABAD,80
21-04-93,2,RAJKOT,76
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,50
21-04-93,2,INDORE,65
21-04-93,2,MUMBAI,74
21-04-93,2,NAGPUR,69.5
21-04-93,2,JAIPUR,72
21-04-93,2,JODHPUR,70
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,50
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,65
21-04-93,3,CUTTACK,70
21-04-93,3,KOLKATA,NA
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,48
21-04-93,4,VIJAYAWADA,40
21-04-93,4,BANGALORE,70
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,102
21-04-93,4,MADURAI,96
21-04-93,4,PONDICHERRY,105
28-04-93,1,HISAR,80
28-04-93,1,KARNAL,60
28-04-93,1,SHIMLA,63
28-04-93,1,MANDI,76
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,68
28-04-93,1,AMRITSAR,72
28-04-93,1,LUDHIANA,75
28-04-93,1,LUCKNOW,60
28-04-93,1,KANPUR,64
28-04-93,1,CHANDIGARH,65
28-04-93,1,DELHI,60
28-04-93,2,AHMEDABAD,80
28-04-93,2,RAJKOT,78
28-04-93,2,PANAJI,65
28-04-93,2,BHOPAL,50
28-04-93,2,INDORE,80
28-04-93,2,MUMBAI,74
28-04-93,2,NAGPUR,69.5
28-04-93,2,JAIPUR,72
28-04-93,2,JODHPUR,70
28-04-93,3,GUWAHATI,45
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,NA
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,70
28-04-93,3,CUTTACK,70
28-04-93,3,KOLKATA,50
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,48
28-04-93,4,VIJAYAWADA,40
28-04-93,4,BANGALORE,68
28-04-93,4,THIRUVANANTHAPURAM,69.5
28-04-93,4,ERNAKULAM,69.5
28-04-93,4,CHENNAI,103
28-04-93,4,MADURAI,96
28-04-93,4,PONDICHERRY,95
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,63
05-05-93,1,MANDI,76
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,60
05-05-93,1,KANPUR,64
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,60
05-05-93,2,AHMEDABAD,80
05-05-93,2,RAJKOT,78
05-05-93,2,PANAJI,65
05-05-93,2,BHOPAL,50
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,74
05-05-93,2,NAGPUR,69.5
05-05-93,2,JAIPUR,72
05-05-93,2,JODHPUR,70
05-05-93,3,GUWAHATI,45
05-05-93,3,PATNA,56
05-05-93,3,SHILLONG,NA
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,70
05-05-93,3,CUTTACK,70
05-05-93,3,KOLKATA,60
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,66
05-05-93,4,VIJAYAWADA,40
05-05-93,4,BANGALORE,68
